seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
2488;PROCELLARIIFORMES;Procellariidae;Ardenna bulleri;Buller's Shearwater;baldriga de Buller;灰背鹱;灰背鸌;sivoleđi zovoj;buřňák šedohřbetý;Grårygget Skråpe;Bullers Pijlstormvogel;grizdorsa pufino;juovasiipiliitäjä;Puffin de Buller;Graumantel-Sturmtaucher;Berta di Buller;ミナミオナガミズナギドリ;Bulerio audronaša;grårygglire;burzyk szarogrzbiety;pardela-neozelandesa;pardela-de-dorso-cinzento;Буллеров буревестник;Sivoleđi zovoj;víchrovník sivochrbtý;Pardela dorsigrís;gråryggig lira;Gri Sırtlı Yelkovan;буревісник Бюлера;;;;;tuhkur-tormilind;Puffin de Buller;;;Buller-vészmadár;;;;Bullera vētrasputns;;;;;;;
2489;PROCELLARIIFORMES;Procellariidae;Ardenna grisea;Sooty Shearwater;baldriga grisa;灰鹱;灰水薙鳥〔灰鸌〕;mrki zovoj;buřňák temný;Sodfarvet Skråpe;Grauwe Pijlstormvogel;griza pufino;nokiliitäjä;Puffin fuligineux;Dunkelsturmtaucher;Berta grigia;ハイイロミズナギドリ;pilkoji audronaša;grålire;burzyk szary;pardela-escura;pardela-preta;Серый буревестник;Čađavi zovoj;víchrovník tmavý;Pardela sombría;grålira;Külrengi Yelkovan;буревісник сивий;Malbaartjie (Grysvlerkpylstormvoël);جلم ماء فاحم;;Сив буревестник;peegel-tormilind;Puffin fuligineux;;יסעור כהה;szürke vészmadár;Gráskrofa;;사대양슴새;tumšais vētrasputns;;;Ránessaddi;کبوتر دریایی دودی;;črni viharnik;
2490;PROCELLARIIFORMES;Procellariidae;Ardenna tenuirostris;Short-tailed Shearwater;baldriga de Tasmània;短尾鹱;短尾水薙鳥〔短尾鸌〕;tankokljuni zovoj;buřňák tenkozobý;Tyndnæbbet Skråpe;Dunbekpijlstormvogel;tasmania pufino;lyhytpyrstöliitäjä;Puffin à bec grêle;Kurzschwanz-Sturmtaucher;Berta codacorta;ハシボソミズナギドリ;plonasnapė audronaša;smalnebblire;burzyk cienkodzioby;pardela-da-tasmânia;pardela-da-tasmânia;Тонкоклювый буревестник;Kratkorepi zovoj;víchrovník tenkozobý;Pardela de Tasmania;kortstjärtad lira;İnce Gagalı Yelkovan;буревісник тонкодзьобий;Kortstertpylstormvoël;;;;austraalia tormilind;Puffin à bec grêle;;יסעור קצר-זנב;vékonycsőrű vészmadár;;;쇠부리슴새;īsastes vētrasputns;;കുറുവാലൻ തിരവെട്ടി;;;;;นกจมูกหลอดหางสั้น
2491;PROCELLARIIFORMES;Procellariidae;Ardenna creatopus;Pink-footed Shearwater;baldriga de potes rosa;粉脚鹱;粉腳鸌;ružičastonogi zovoj;buřňák růžovonohý;Chileskråpe;Chileense Grote Pijlstormvogel;rozpieda pufino;chilenliitäjä;Puffin à pieds roses;Rosafuß-Sturmtaucher;Berta piedirosa;シロハラアカアシミズナギドリ;rausvakojė audronaša;chilelire;burzyk różowonogi;pardela-chilena;pardela-de-patas-rosadas;Розовоногий буревестник;Sivi svetlonogi zovoj;víchrovník ružovonohý;Pardela patirrosa;rosanäbbad lira;Şili Yelkovanı;буревісник рожевоногий;;;;;tšiili tormilind;Puffin à pieds roses;;יסעור ורוד-רגל;rószaszínlábú vészmadár;;;;sārtkāju vētrasputns;;;;;;;
2492;PROCELLARIIFORMES;Procellariidae;Ardenna carneipes;Flesh-footed Shearwater;baldriga bruna;淡足鹱;肉足水薙鳥〔淡足鸌〕;svjetlonogi zovoj;buřňák světlenohý;Lysbenet Skråpe;Australische Grote Pijlstormvogel;helpieda pufino;sysiliitäjä;Puffin à pieds pâles;Blassfuß-Sturmtaucher;Berta zampecarnicine;アカアシミズナギドリ;storasnapė audronaša;lysbeinlire;burzyk bladodzioby;pardela-de-patas-rosadas;pardela-de-patas-claras;Бледноногий буревестник;Smeđi svetlonogi zovoj;víchrovník bledonohý;Pardela paticlara;ljusfotad lira;Soluk Gagalı Yelkovan;буревісник світлоногий;Bruinpylstormvoël;جلم ماء فاتح القدم;;;kahkjalg-tormilind;Puffin à pieds pâles;;יסעור כהה-כנף;barna vészmadár;Haglskrofa;Penggunting-laut kaki-merah;붉은발슴새;bālkāju vētrasputns;;ചെങ്കാലൻ തിരവെട്ടി;Čuvgesjuolgsaddi;;;vražji viharnik;
2493;PROCELLARIIFORMES;Procellariidae;Ardenna gravis;Great Shearwater;baldriga capnegra;大鹱;大鸌;crnokapi zovoj;buřňák velký;Storskråpe;Grote Pijlstormvogel;granda pufino;isoliitäjä;Puffin majeur;Kappensturmtaucher;Berta dell'Atlantico;ズグロミズナギドリ;didžioji audronaša;storlire;burzyk wielki;pardela-de-barrete;pardela-de-barrete;Пестробрюхий буревестник;Veliki zovoj;víchrovník atlantický;Pardela capirotada;större lira;Büyük Yelkovan;буревісник великий;Grootpylstormvoël;جلم الماء كبير;;Голям буревестник;mustkõht-tormilind;Puffin majeur;Καπελόμυχος;יסעור שחור-כיפה;nagy vészmadár;Hettuskrofa;;;lielais vētrasputns;;;Stuorrasaddi;;;veliki viharnik;
2494;PROCELLARIIFORMES;Procellariidae;Puffinus nativitatis;Christmas Shearwater;baldriga de l'illa Christmas;黑鹱;黑鸌;smeđi zovoj;buřňák tropický;Polynesisk Skråpe;Kleine Wigstaartpijlstormvogel;kiritimata pufino;polynesianliitäjä;Puffin de la Nativité;Weihnachtssturmtaucher;Berta di Christmas;コミズナギドリ;Kalėdų salų audronaša;brunlire;burzyk brunatny;fura-bucho-da-kiritimati;pardela-de-kiritimati;Рождественский буревестник;Smeđi havajski zovoj;víchrovník černastý;Pardela de Navidad;brunlira;Christmas Yelkovanı;буревісник острівний;;;;;polüneesia tormilind;Puffin de la Nativité;;;karácsony-szigeteki vészmadár;;;;Kirisimasi vētrasputns;;;;;;;
2495;PROCELLARIIFORMES;Procellariidae;Puffinus puffinus;Manx Shearwater;baldriga pufí;大西洋鹱;普通鸌;mali zovoj;buřňák severní;Almindelig Skråpe;Noordse Pijlstormvogel;atlantika pufino;pikkuliitäjä;Puffin des Anglais;Atlantiksturmtaucher;Berta minore atlantica;マンクスミズナギドリ;atlantinė audronaša;havlire;burzyk północny;fura-bucho-do-atlântico;pardela-sombria;Малый буревестник;Obični zovoj;víchrovník malý;Pardela pichoneta;mindre lira;Atlantik Yelkovanı;буревісник малий;Swartbekpylstormvoël;جلم ماء مانكس;;Атлантически буревестник;põhja-tormilind;Puffin des Anglais;;יסעור אטלנטי;atlanti vészmadár;Skrofa;;;melnknābja vētrasputns;;;Uhcasaddi;;;atlantski viharnik;
2496;PROCELLARIIFORMES;Procellariidae;Puffinus yelkouan;Yelkouan Shearwater;baldriga mediterrània;地中海鹱;葉庫安鸌;gregula;buřňák středomořský;Ægæerskråpe;Yelkouanpijlstormvogel;mediteranea pufino;idänpikkuliitäjä;Puffin yelkouan;Mittelmeer-Sturmtaucher;Berta minore;チチュウカイミズナギドリ;viduržeminė audronaša;middelhavslire;burzyk śródziemnomorski;fura-bucho-do-mediterrâneo;pardela-do-mediterrâneo;Левантский буревестник;Mali zovoj;víchrovník hnedastý;Pardela mediterránea;medelhavslira;Yelkovan;буревісник східний;;جلم ماء بحر الأبيض المتوسط;;Средиземноморски буревестник;vahemere tormilind;Puffin yelkouan;Μύχος (της Μεσογείου);יסעור מצוי;bukdosó vészmadár;Stormskrofa;;;Vidusjūras vētrasputns;мал завој;;Gaskamearasaddi;;Ielcovan estic;sredozemski viharnik;
2497;PROCELLARIIFORMES;Procellariidae;Puffinus mauretanicus;Balearic Shearwater;baldriga balear;巴利鹱;巴里亞利克鸌;balearski zovoj;buřňák baleárský;Balearskråpe;Vale Pijlstormvogel;baleara pufino;baleaarienliitäjä;Puffin des Baléares;Balearensturmtaucher;Berta balearica;ヨーロッパミズナギドリ;balearinė audronaša;balearlire;burzyk balearski;fura-bucho-das-baleares;pardela-balear;Балеарский буревестник;Balearski zovoj;víchrovník baleársky;Pardela balear;balearisk lira;Balear Yelkovanı;буревісник балеарський;Baleariese Pylstormvoël;جلم ماء بيلركي;;Балеарски буревестник;baleaari tormilind;Puffin des Baléares;Μύχος των Βαλεαρίδων;יסעור מערבי;baleári vészmadár;Brúnskorfa;;;Baleāru vētrasputns;;;Balearasaddi;;;balearski viharnik;
2498;PROCELLARIIFORMES;Procellariidae;Puffinus bryani;Bryan's Shearwater;baldriga de Bryan;布氏鹱;拜揚氏鸌〔小笠原鸌〕;patuljasti zovoj;buřňák malý;Ogasawara Skråpe;Bryans Pijlstormvogel;nana pufino;bonininliitäjä;Puffin de Bryan;Midwaysturmtaucher;Berta di Bryan;オガサワラヒメミズナギドリ;Midvėjaus salų audronaša;smålire;burzyk siodłaty;fura-bucho-das-bonim;pardela-de-bryan;Мидуэйский буревестник;Brajanov zovoj;víchrovník Bryanov;Pardela de Bryan;pygmélira;Bonin Adası Küçük Yelkovanı;буревісник бонінський;;;;;;Puffin de Bryan;;;;;;;;;;;;;;
2499;PROCELLARIIFORMES;Procellariidae;Puffinus opisthomelas;Black-vented Shearwater;baldriga culnegra;黑臀鹱;黑腰鸌;tamnolici zovoj;buřňák kalifornský;Californisk Skråpe;Zwartbuikpijlstormvogel;nigrapuga pufino;kalifornianpikkuliitäjä;Puffin cul-noir;Schwarzsteiß-Sturmtaucher;Berta culnero;クロハラミズナギドリ;juodasturplė audronaša;bajalire;burzyk kalifornijski;fura-bucho-da-califórnia;pardela-da-califórnia;Чернохвостый буревестник;Crnotrbi zovoj;víchrovník kalifornský;Pardela culinegra;californialira;Kaliforniya Yelkovanı;буревісник каліфорнійський;;;;;kalifornia tormilind;Puffin cul-noir;;;;;;;Kalifornijas vētrasputns;;;;;;;
2500;PROCELLARIIFORMES;Procellariidae;Puffinus auricularis;Townsend's Shearwater;baldriga de Townsend;汤氏鹱;湯氏鸌;tamnoleđi zovoj;buřňák sokorrský;Mexicansk Skråpe;Townsends Pijlstormvogel;sokora pufino;meksikonpikkuliitäjä;Puffin de Townsend;Townsendsturmtaucher;Berta di Townsend;オオセグロミズナギドリ;Taunsendo audronaša;mexicolire;burzyk białorzytny;fura-bucho-de-socorro;pardela-de-townsend;Сокоррский буревестник;Zovoj sa ostrva Sokoro i Klarion;víchrovník mexický;Pardela de Townsend;socorrolira;Townsend Yelkovanı;буревісник гавайський;;;;;valgelaik-tormilind;Puffin de Townsend;;;Towsend-vészmadár;;;;Taunsenda vētrasputns;;;;;;;
2501;PROCELLARIIFORMES;Procellariidae;Puffinus newelli;Newell's Shearwater;baldriga de Newell;夏威夷鹱;紐維爾氏鸌;dugorepi zovoj;buřňák kauaiský;Hawaiiskråpe;Newells Pijlstormvogel;havaja pufino;;Puffin de Newell;Hawaiisturmtaucher;Berta di Newell;ハワイセグロミズナギドリ;;hawaiilire;burzyk hawajski;fura-bucho-havaiano;pardela-de-newell;Гавайский буревестник;Crni havajski zovoj;víchrovník havajský;Pardela de Newell;hawaiilira;Newell Yelkovanı;буревісник молокайський;;;;;kauai tormilind;Puffin de Newell;;;;;;;;;;;;;;
2502;PROCELLARIIFORMES;Procellariidae;Puffinus myrtae;Rapa Shearwater;;拉帕鹱;拉帕鸌;;buřňák rapaitský;Rapa Skråpe;Rapapijlstormvogel;rapaa pufino;;Puffin de Rapa;Rapasturmtaucher;;ラパセグロミズナギドリ;;rapalire;burzyk polinezyjski;fura-bucho-de-rapa;pardela-de-rapa;Табуайский буревестник;Zovoj sa ostrva Rapa Iti;víchrovník rapský;Pardela de Rapa;rapalira;Rapa Adası Yelkovanı;буревісник рапайський;;;;;;Puffin de Rapa;;;;;;;;;;;;;;
2503;PROCELLARIIFORMES;Procellariidae;Puffinus gavia;Fluttering Shearwater;baldriga de Forster;棕嘴鹱;鼓翼鸌;priobalni zovoj;buřňák třepetavý;Skærskråpe;Vlinderpijlstormvogel;novzelanda pufino;uudenseelanninliitäjä;Puffin volage;Flattersturmtaucher;Berta frullina;ミナミミズナギドリ;drugelinė audronaša;flagrelire;burzyk nowozelandzki;fura-bucho-neozelandês;pardela-agitada;Буроспинный буревестник;Novozelandski zovoj;víchrovník trepotavý;Pardela gavia;nyazeelandlira;Dalgıç Yelkovan;буревісник австралійський;;;;;rand-tormilind;Puffin volage;;;;;;;;;;;;;;
2504;PROCELLARIIFORMES;Procellariidae;Puffinus huttoni;Hutton's Shearwater;baldriga de Hutton;澳洲鹱;休頓氏鸌;huttonov zovoj;buřňák maorský;Bjergskråpe;Huttons Pijlstormvogel;hutona pufino;tummapikkuliitäjä;Puffin de Hutton;Huttonsturmtaucher;Berta di Hutton;ニュージーランドミズナギドリ;Hatono audronaša;maorilire;burzyk wędrowny;fura-bucho-de-kaikoura;pardela-de-hutton;Маорийский буревестник;Zovoj iz oblasti Kajkoura;víchrovník novozélandský;Pardela de Hutton;kaikouralira;Hutton Yelkovanı;буревісник Гутона;;;;;mägi-tormilind;Puffin de Hutton;;;Hutton-vészmadár;;;;;;;;;;;
2505;PROCELLARIIFORMES;Procellariidae;Puffinus lherminieri;Sargasso Shearwater;baldriga d'Audubon;奥氏鹱;奧杜邦氏鸌;audubonov zovoj;buřňák Audubonův;Tropeskråpe;Audubons Kleine Pijlstormvogel;aŭdubona pufino;kääpiöliitäjä;Puffin d’Audubon;Audubonsturmtaucher;Berta di Audubon;セグロミズナギドリ;atogrąžinė audronaša;tropelire;burzyk równikowy;pintainho-das-antilhas;pardela-de-audubon;Темноспинный буревестник;Karipski zovoj;víchrovník oceánsky;Pardela de Audubon;kariblira;Audubon Yelkovanı;буревісник екваторіальний;;;;;troopika-tormilind;Puffin d'Audubon;;יסעור מערב אטלנטי;Audubon-vészmadár;Þangskrofa;;;Odubona vētrasputns;;;Čohkkessaddi;;;tropski viharnik;
2506;PROCELLARIIFORMES;Procellariidae;Puffinus persicus;Persian Shearwater;baldriga persa;波斯鹱;波斯鸌;perzijski zovoj;buřňák ománský;Persisk Skråpe;Perzische Kleine Pijlstormvogel;persa pufino;;Puffin persique;Arabiensturmtaucher;Berta di Hume;ペルシアミズナギドリ;persinė audronaša;perserlire;burzyk perski;pintainho-persa;pardela-persa;Персидский буревестник;Persijski zovoj;víchrovník perzský;Pardela persa;arablira;Basra Yelkovanı;буревісник каріамуріанський;;جلم ماء الفارسي;;Персийски буревестник;pärsia tormilind;Puffin persique;;יסעור פרסי;perzsa vészmadár;;;;;;പേർസ്യൻ തിരവെട്ടി;;کبوتر دریایی ایرانی;;;
2507;PROCELLARIIFORMES;Procellariidae;Puffinus bailloni;Tropical Shearwater;baldriga de Baillon;热带鹱;熱帶鸌;maskarenski zovoj;buřňák indopacifický;Østlig Tropeskråpe;Baillons Kleine Pijlstormvogel;tropika pufino;tropiikkiliitäjä;Puffin de Baillon;Tropensturmtaucher;Berta di Baillon;トロピカルミズナギドリ;tropinė audronaša;nymfelire;burzyk tropikalny;pintainho-dos-trópicos;pardela-tropical;Белобрюхий буревестник;Tropski zovoj;víchrovník tropický;Pardela tropical;tropiklira;Tropikal Yelkovan;буревісник реюньйонський;Swartkroonpylstormvoël (Tropiese Kleinpylstormvoël);جلم ماء استوائي;;;;Puffin de Baillon;;יסעור גמדי;Audubon-vészmadár;;;;;;ട്രോപ്പിക്കൽ തിരവെട്ടി;;;;;
2508;PROCELLARIIFORMES;Procellariidae;Puffinus subalaris;Galapagos Shearwater;baldriga de les Galápagos;加岛鹱;加拉巴哥鸌;kratkokrili zovoj;buřňák galapážský;Galápagos Skråpe;Galápagospijlstormvogel;galapaga pufino;galápagosinliitäjä;Puffin des Galapagos;Galápagossturmtaucher;Berta delle Galapagos;ガラパゴスミズナギドリ;;galapagoslire;burzyk galapagoski;pintainho-das-galápagos;pardela-das-galápagos;Галапагосский буревестник;Galapagoski zovoj;víchrovník galapágsky;Pardela de Galápagos;galápagoslira;Galapagos Yelkovanı;буревісник галапагоський;;;;;;Puffin des Galapagos;;;;;;;;;;;;;;
2509;PROCELLARIIFORMES;Procellariidae;Puffinus bannermani;Bannerman's Shearwater;baldriga de Bannerman;斑氏鹱;邦氏鸌;japanski zovoj;buřňák vulkánový;Bonin Skråpe;Bannermans Pijlstormvogel;bonina pufino;;Puffin de Bannerman;Boninsturmtaucher;Berta di Bannerman;オガサワラミズナギドリ;;boninlire;burzyk boniński;pintainho-das-bonim;pardela-de-bannerman;Бонинский буревестник;Banermanov zovoj;víchrovník Bannermanov;Pardela de las Bonin;boninlira;Bonin Yelkovanı;буревісник японський;;;;;bonini tormilind;Puffin de Bannerman;;;Bannerman-vészmadár;;;;;;;;;;;
2510;PROCELLARIIFORMES;Procellariidae;Puffinus heinrothi;Heinroth's Shearwater;baldriga de Heinroth;所罗门鹱;海因羅氏鸌;melanezijski zovoj;buřňák melanéský;New Britain-skråpe;Heinroths Pijlstormvogel;melanezia pufino;salomoninliitäjä;Puffin de Heinroth;Heinrothsturmtaucher;Berta di Heinroth;ビスマルクミズナギドリ;Heinroto audronaša;melanesialire;burzyk podbielały;pintainho-das-salomão;pardela-de-heinroth;Соломонский буревестник;Zovoj sa Solomonskih ostrva;víchrovník melanézsky;Pardela de Heinroth;melanesisk lira;Heinroth Yelkovanı;буревісник Гейнрота;;;;;pisi-tormilind;Puffin de Heinroth;;;salamon-szigeteki vészmadár;;;;;;;;;;;
2511;PROCELLARIIFORMES;Procellariidae;Puffinus assimilis;Little Shearwater;baldriga petita;小鹱;小鸌;kratkorepi zovoj;buřňák menší;Lille Skråpe;Pacifische Kleine Pijlstormvogel;eta pufino;etelänkääpiöliitäjä;Petit Puffin;Zwergsturmtaucher;Berta minore fosca;ヒメミズナギドリ;mažoji audronaša;dverglire;burzyk mały;pardela-pequena;pardela-maori;Тусклый буревестник;Australijski mali zovoj;víchrovník krpatý;Pardela semejante;dvärglira;Güney Küçük Yelkovanı;буревісник-крихітка каприкорновий;Kleinpylstormvoël;;;Малък буревестник;väike-tormilind;Petit Puffin;;יסעור גמדי אוסטרלי;kis vészmadár;Dvergskrofa;;;mazais vētrasputns;;;Deaggasaddi;;;mali viharnik;
2512;PROCELLARIIFORMES;Procellariidae;Puffinus elegans;Subantarctic Shearwater;baldriga subantàrtica;亚南极鹱;南極鸌;južni zovoj;buřňák subantarktický;Sydatlantisk Skråpe;Subantarctische Kleine Pijlstormvogel;subantarkta pufino;;Puffin élégant;Subantarktis-Sturmtaucher;;アナンキョクヒメミズナギドリ;;sørhavslire;burzyk ciemnolicy;pintainho-subantártico;pardela-subantárctica;Субантарктический буревестник;Subantarktički mali zovoj;víchrovník pôvabný;Pardela subantártica;subantarktisk lira;Subantartik Yelkovan;буревісник-крихітка тристанський;Sub-antarktiese Pylstormvoël;;;;;Puffin élégant;;;;;;;;;;;;;;
2513;PROCELLARIIFORMES;Procellariidae;Puffinus baroli;Barolo Shearwater;baldriga petita de l’Atlàntic Nord;北大西洋鹱;北大西洋小鸌;makaronezijski zovoj;buřňák makaronéský;Makaronesisk Skråpe;Kleine Pijlstormvogel;makaronesia pufino;;Puffin de Macaronésie;Barolosturmtaucher;Berta della Macaronesia;バローロヒメミズナギドリ;kanarinė mažoji audronaša;makaronesialire;burzyk malutki;pintainho-macaronésio;pardela-pequena;Канарский буревестник;Plavonogi zovoj;víchrovník makaronézsky;Pardela chica macaronésica;makaronesisk lira;Küçük Yelkovan;буревісник канарський;;جلم ماء خمري;;Североатлантически буревестник;makaroneesia tormilind;Puffin de Macaronésie;;יסעור קטן;kis vészmadár;;;;;;;;;;;
2514;PROCELLARIIFORMES;Procellariidae;Puffinus boydi;Boyd's Shearwater;baldriga petita de Cap Verd;佛得角小鹱;維德角小鸌;;buřňák Boydův;Dværgskråpe;Kaapverdische Kleine Pijlstormvogel;bojda pufino;;Puffin de Boyd;Boydsturmtaucher;Berta di Boyd;ケープベルデヒメミズナギドリ;žaliojo kyšulio mažoji audronaša;alvelire;burzyk brązoworzytny;pintainho-de-cabo-verde;pardela-de-cabo-verde;Бойдов буревестник;Bojdov zovoj;víchrovník Boydov;Pardela chica de Cabo Verde;boydlira;Küçük Kap Verd Yelkovanı;буревісник архіпелаговий;;;;Буревестник на Бойд;kapverdi tormilind;Puffin de Boyd;;יסעור מערב אפריקני;;;;;;;;;;;;
2515;PROCELLARIIFORMES;Procellariidae;Pelecanoides garnotii;Peruvian Diving Petrel;petrell cabussador del Perú;秘鲁鹈燕;秘魯鵜燕;peruanska burnica;buřník peruánský;Peru Alkestormfugl;Chileens Alkstormvogeltje;perua merĝopetrelo;perunmyrskysukeltaja;Puffinure de Garnot;Peru-Lummensturmvogel;Petrello tuffatore del Perù;ペルーモグリウミツバメ;peruvinis nardantysis audrašauklis;humboldtdykkpetrell;nurzec peruwiański;petrel-mergulhador-peruano;pardela-mergulhadora-peruana;Перуанский ныряющий буревестник;;pelikánovec dlhozobý;Potoyunco peruano;perudykpetrell;Garnot Dalıcı Fırtınakuşu;пуфінур перуанський;;;;;peruu torminiglas;Puffinure de Garnot;;;perui bukóhojsza;;;;;;;;;;;
2516;PROCELLARIIFORMES;Procellariidae;Pelecanoides magellani;Magellanic Diving Petrel;petrell cabussador de Magallanes;麦哲伦鹈燕;麥哲倫鵜燕;mageljanska burnica;buřník magellanský;Magellan Alkestormfugl;Magelhaenalkstormvogeltje;magelana merĝopetrelo;sepelmyrskysukeltaja;Puffinure de Magellan;Magellan-Lummensturmvogel;Petrello tuffatore di Magellano;マゼランモグリウミツバメ;magelaninis nardantysis audrašauklis;magellandykkpetrell;nurzec magellański;petrel-mergulhador-magalhânico;pardela-mergulhadora-de-magalhães;Магелланов ныряющий буревестник;;pelikánovec goliernatý;Potoyunco magallánico;magellandykpetrell;Macellan Dalıcı Fırtınakuşu;пуфінур магеланський;;;;;kaelus-torminiglas;Puffinure de Magellan;;;tűzföldi bukóhojsza;;;;;;;;;;;
2517;PROCELLARIIFORMES;Procellariidae;Pelecanoides georgicus;South Georgia Diving Petrel;petrell cabussador de Geòrgia del Sud;南乔治亚鹈燕;南喬治亞鵜燕;zdepasta burnica;buřník georgijský;Sydgeorgisk Alkestormfugl;Zuid-Georgisch Alkstormvogeltje;sudgeorgia merĝopetrelo;pikkumyrskysukeltaja;Puffinure de Géorgie du Sud;Breitschnabel-Lummensturmvogel;Petrello tuffatore di South Georgia;ミナミモグリウミツバメ;Pietų Džordžijos nardantysis audrašauklis;kortnebbdykkpetrell;nurzec mały;petrel-mergulhador-da-geórgia-do-sul;pardela-mergulhadora-da-geórgia-do-sul;Георгийский ныряющий буревестник;;pelikánovec širokozobý;Potoyunco de Georgia del Sur;brednäbbad dykpetrell;Pelajik Dalıcı Fırtınakuşu;пуфінур георгійський;;;;;väike-torminiglas;Puffinure de Géorgie du Sud;;;szürkehátú bukóhojsza;;;;;;;;;;;
2518;PROCELLARIIFORMES;Procellariidae;Pelecanoides urinatrix;Common Diving Petrel;petrell cabussador comú;鹈燕;普通鵜燕;burnica njorka;buřník obecný;Alkestormfugl;Alkstormvogeltje;ordinara merĝopetrelo;myrskysukeltaja;Puffinure plongeur;Subantarktis-Lummensturmvogel;Petrello tuffatore comune;モグリウミツバメ;paprastasis nardantysis audrašauklis;smalnebbdykkpetrell;nurzec czarnoskrzydły;petrel-mergulhador-comum;pardela-mergulhadora-comum;Южный ныряющий буревестник;;pelikánovec bielohrdlý;Potoyunco común;smalnäbbad dykpetrell;Dalıcı Fırtınakuşu;пуфінур великий;;;;;tõmmu-torminiglas;Puffinure plongeur;;;barnahátú bukóhojsza;;;;;;;;;;;
2519;PROCELLARIIFORMES;Procellariidae;Bulweria bulwerii;Bulwer's Petrel;petrell de Bulwer;褐燕鹱;穴鳥〔布爾氏燕鸌，褐燕鸌〕;čađasti zovoj;buřňák Bulwerův;Spidshalet Petrel;Bulwers Stormvogel;pintvosta petrelo;tyrskyliitäjä;Pétrel de Bulwer;Bulwersturmvogel;Berta di Bulwer;アナドリ;Bulverio audrapaukštis;spisshalepetrell;tajfunnik cienkodzioby;alma-negra-comum;alma-negra-de-bulwer;Бульверов штормовик;Bulverova burnica;víchrovník holubí;Petrel de Bulwer;spetsstjärtad petrell;Bulwer Yelkovanı;бульверія тонкодзьоба;Bulwerstormvoël;;;Булверов тайфунник;nõgi-tormilind;Puffin de Bulwer;;סערונית חומה;szalagos szerecsenhojsza;Svöludrúði;Petrel bulwer;검은슴새;Bulvera vētrasputns;;;Bulwerstoarbmaloddi;;;siva bulverica;
2520;PROCELLARIIFORMES;Procellariidae;Bulweria bifax;Olson's Petrel;petrell petit de l'illa Santa Helena;小圣赫勒拿岛海燕;奧爾森燕鸌;mali svetohelenski zovoj;buřňák Olsonův;Saint Helena-petrel;Olsons Stormvogel;olsona petrelo;sainthelenantyrskyliitäjä;Pétrel d’Olson;Helenasturmvogel;Berta di Olson;;;januspetrell;tajfunnik mały;alma-negra-de-santa-helena;alma-negra-de-santa-helena;Святоеленский штормовик;Mala burnica sa ostrva Sveta Jelena (izumrla);víchrovník ostrovný;Petrel de Santa Helena Menor;mindre sankthelenapetrell;Olson Yelkovanı;бульверія санта-геленська;;;;;;;;;;;;;;;;;;;;
2521;PROCELLARIIFORMES;Procellariidae;Bulweria fallax;Jouanin's Petrel;petrell de Jouanin;厚嘴燕鹱;厚嘴燕鸌;suri zovoj;buřňák arabský;Arabisk Petrel;Jouanins Stormvogel;arabia petrelo;sokotrantyrskyliitäjä;Pétrel de Jouanin;Jouaninsturmvogel;Berta di Jouanin;アラビアアナドリ;indinis audrapaukštis;araberpetrell;tajfunnik grubodzioby;alma-negra-arábica;alma-negra-arábica;Персидский штормовик;;víchrovník hnedočierny;Petrel de Jouanin;arabpetrell;Arabistan Yelkovanı;бульверія товстодзьоба;Donkervlerkkeilstert (Jouaninse Stormvoël);;;;araabia tormilind;Puffin de Jouanin;;סערונית הודית;egyszínű szerecsenhojsza;Ægisdrúði;Petrel palsu;;Žuanina vētrasputns;;വലിയ കുഴൽമൂക്കൻ തിരവെട്ടി;Arábiastoarbmaloddi;;;rjava bulverica;
2522;CICONIIFORMES;Ciconiidae;Anastomus lamelligerus;African Openbill;bec de tenalla africà;非洲钳嘴鹳;非洲鉗嘴鸛;afrička roda;zejozob africký;Afrikansk Gabenæb;Afrikaanse Gaper;afrika fendobekulo;afrikanrakonokka;Bec-ouvert africain;Glanzklaffschnabel;Anastomo africano;クロスキハシコウ;afrikinis kiaurasnapis gandras;afrikagapenebb;kleszczak afrykański;bico-aberto-africano;cegonha-de-bico-aberto-africana;Африканский аист-разиня;Afrička šupljokljuna roda;škározobec tmavý;Picotenaza africano;afrikansk gapnäbbsstork;Kara Açıkgaga;лелека-молюскоїд африканський;Oopbekooievaar;;;Африкански цепкоклюн щъркел;must-irvnokk;Bec-ouvert africain;;;afrikai tátogatógólya;;;;;;;;;;;
